id_do_cliente,tipo,nome,documento
1,F,Carlos Martins,33218196001
2,F,Eduardo Mendes,08386379402
3,F,Felipe Martins,23511615594
4,J,Bruno Pinto,16184959310341
5,J,Mariana Fernandes,47525534192832
6,F,Pedro Pinto,35030564139
7,J,Felipe Almeida,76724238849696
8,F,Rafael Barbosa,71012269166
9,F,Bruno Barbosa,48018451462
10,F,Pedro Barbosa,28148932528
11,J,Eduardo Silva,95701543039117
12,J,Patricia Pereira,27824896383465
13,F,Eduardo Araújo,13315098393
14,F,Ana Rodrigues,10518347382
15,F,Daniel Castro,73763116566
16,F,Ana Santos,06513338726
17,F,Bruno Rodrigues,17810801326
18,F,Lucas Fernandes,02606474687
19,F,Julia Almeida,09805009788
20,F,Eduardo Oliveira,21913619399
21,F,João Rocha,99854353462
22,F,Julia Araújo,51079911838
23,F,Camila Oliveira,35427849808
24,F,Mariana Pereira,41182449353
25,F,Pedro Barbosa,74016400524
26,F,Bruno Pinto,68011280598
27,F,Rafael Souza,45053315869
28,F,Marina Costa,26025634216
29,J,Larissa Rodrigues,37543303654145
30,F,Gustavo Pinto,50142940196
31,F,Felipe Rocha,98169340608
32,J,Patricia Almeida,56159514846564
33,F,Lucas Rocha,62994680443
34,F,Daniel Mendes,57773872148
35,F,Sofia Ribeiro,13433200379
36,J,João Araújo,69367632016328
37,F,Patricia Rodrigues,17278895798
38,F,Patricia Araújo,27743487347
39,F,Julia Rodrigues,45581223623
40,F,Amanda Ribeiro,87603669096
41,F,Camila Gomes,66889373467
42,F,Felipe Fernandes,27298069901
43,F,Rafael Araújo,20465375564
44,J,Amanda Martins,17080531003309
45,F,Rafael Dias,19374529912
46,J,Mariana Castro,04966319314919
47,J,Camila Pinto,65185067165726
48,F,Eduardo Martins,98776945314
49,J,Marina Araújo,99650752735454
50,J,Pedro Pinto,08313678377701
